nombre_panel,Irradiancia,Temperatura,Voc,Isc,Ns,alpha_Isc,beta_Voc,Rs,Rsh,Vmpp,Impp,Pmax
panel_HansolTechnicsCo__LtdHS238SB_A06,800,45,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.572986493246624,6.359918761263454,207.16154790878028
panel_HansolTechnicsCo__LtdHS238SB_A06,800,50,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.115557778889446,6.374044914839562,211.08005266260596
panel_HansolTechnicsCo__LtdHS238SB_A06,800,55,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.65812906453227,6.388180242525438,215.01419509041625
panel_HansolTechnicsCo__LtdHS238SB_A06,900,10,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,28.700150075037516,7.054097505285364,202.4536570456377
panel_HansolTechnicsCo__LtdHS238SB_A06,900,15,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.24272136068034,7.070842017334042,206.77066289829023
panel_HansolTechnicsCo__LtdHS238SB_A06,900,20,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.78529264632316,7.087580963835617,211.105673162353
panel_HansolTechnicsCo__LtdHS238SB_A06,900,25,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.34657328664332,7.099934830649182,215.45869266868692
panel_HansolTechnicsCo__LtdHS238SB_A06,900,30,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.889144572286142,7.116730843243553,219.82972789899796
panel_HansolTechnicsCo__LtdHS238SB_A06,900,35,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.431715857928964,7.13351994903418,224.21877210491024
panel_HansolTechnicsCo__LtdHS238SB_A06,900,40,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.974287143571786,7.1503024590127975,228.62582398786262
panel_HansolTechnicsCo__LtdHS238SB_A06,900,45,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.51685842921461,7.167078665802964,233.05088232695928
panel_HansolTechnicsCo__LtdHS238SB_A06,900,50,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.05942971485743,7.183848844994561,237.4939459732574
panel_HansolTechnicsCo__LtdHS238SB_A06,900,55,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.60200100050025,7.200613256363792,241.95501384455153
panel_HansolTechnicsCo__LtdHS238SB_A06,1000,10,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,28.625312656328163,7.840665127439425,224.44149070652264
panel_HansolTechnicsCo__LtdHS238SB_A06,1000,15,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.167883941970985,7.860253746181443,229.26696902306298
panel_HansolTechnicsCo__LtdHS238SB_A06,1000,20,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.710455227613807,7.879812495444574,234.11281634789782
panel_HansolTechnicsCo__LtdHS238SB_A06,1000,25,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.25302651325663,7.899342817385846,238.97902769167732
